word,old_definition,modern_definition,category,notes,period_of_origin,period_of_major_shift
engine,A device or instrument especially of war,A machine that converts energy into motion,mechanics,From any clever device or war machine to specific power source,Late Medieval / Early 1500s,18th-19th century (Industrial Revolution)
machine,A scheme plot or contrivance,A mechanical apparatus or device,mechanics,From abstract scheme or plot to physical machine,1500s,17th-18th century
device,An emblem or motto; a plan or stratagem,A machine tool or electronic gadget,mechanics,From symbolic emblem or clever plan to physical or electronic tool,1500s,19th-20th century
engineer,One who designs or constructs engines or works of fortification,A person who designs builds or maintains engines machines or systems,mechanics,Originally military or fortification specialist,1500s,18th-19th century
science,Knowledge learning or skill in any art or discipline,Systematic study of the structure and behavior of the physical and natural world through observation and experiment,knowledge_systems,From general knowledge or skill to specific empirical method,1500s,17th-19th century (Scientific Revolution to modern science)
invention,The act of finding or contriving something; a scheme device or discovery,A new device method or process created by human ingenuity,knowledge_systems,Strong shift toward mechanical and technological creation,1500s,18th-19th century (Industrial Revolution)
computer,A person who performs mathematical calculations especially one employed to do so,An electronic device that stores and processes data according to a set of instructions,calculation,Human job title to electronic machine major 20th century shift,Early 1600s,1940s-1950s (electronic computers)
reckon,To count calculate or compute a sum or total,To think or suppose something; to consider,calculation,Classic shift from calculation to casual thinking,Old English,18th-19th century
program,A public notice or proclamation; a plan or schedule,A series of coded instructions that tell a computer what to do,calculation,From public notice or plan to computer instructions,1600s,1940s-1950s (early computers)
file,A string wire or folder for keeping papers in order; a tool for smoothing,A collection of data or information stored under a single name on a computer,calculation,From physical folder or tool to digital data container,1500s,20th century (computing)
memory,The faculty of remembering; remembrance or recollection,The part of a computer where data and instructions are stored for quick access,calculation,From human mental faculty to computer hardware component,Old English,1940s-1950s (computers)
record,A written account or document; the act of recording,Data stored in a computer system or a vinyl disc for music,calculation,From written document to digital data or audio medium,1300s-1400s,20th century
perspective,An optical instrument or glass for seeing objects at a distance,A particular attitude point of view or way of regarding something,optics,Physical optical device to abstract viewpoint,1500s-1600s,18th-19th century
battery,A number of cannon or heavy guns placed together for action; a fortified emplacement,A device that converts chemical energy into electrical energy or a series of similar units,warfare,From cannons to electrical device,1500s-1600s,18th-19th century (electricity)
magazine,A storehouse for arms ammunition or provisions; a military depot,A periodical publication containing articles stories etc. or a storage place for ammunition,warfare,From military storehouse to periodical publication,1500s-1600s,18th-19th century
element,One of the four classical substances earth air fire water; a basic constituent or principle,A substance that cannot be broken down into simpler substances by chemical means; a component,chemistry,From four elements theory to periodic table elements,Ancient / Medieval,17th-19th century (chemistry as science)
dial,The face of a clock or sundial; a plate marked with divisions,The face of a clock gauge or meter; a control on a device,timekeeping,Extended from clock face to any gauge or control,1300s-1400s,19th-20th century
mouse,A small rodent,A pointing device used to control a computer cursor,computing,From living animal to computer hardware input device,Old English,1960s-1970s (early computers)
bug,An insect or small creeping creature,A flaw or error in a computer program or system,computing,From literal insect to software or hardware fault,1500s,1940s-1950s (early computing)
virus,A poisonous substance or venom,Malicious software designed to spread and damage computer systems,computing,From biological poison to digital malware,1600s,1980s-1990s (personal computers)
window,An opening in a wall for light and air,A rectangular area on a computer screen that displays information,computing,From physical opening to graphical user interface element,Old English,1980s (graphical user interfaces)
desktop,The top surface of a desk or work table,The main screen area of a computer operating system,computing,From physical furniture surface to digital workspace,1500s,1980s-1990s (personal computers)
server,A person who serves food or attends to guests,A computer that provides data or services to other computers,computing,From human role to machine that serves data,1500s,1960s-1970s (early networks)
driver,A person who operates a vehicle,Software that enables communication between an operating system and hardware,computing,From human action to software component that controls hardware,1600s,1970s-1980s (operating systems)
interface,The surface forming a common boundary between two things,The point where a user interacts with a computer system or software,computing,From physical boundary to digital user interaction point,1500s,1960s-1980s (human-computer interaction)
platform,A raised flat surface for standing or working,A computing environment or operating system on which software runs,computing,From physical raised structure to software foundation or ecosystem,1500s,1970s-1990s (computing platforms)
browser,A person who looks through goods or information casually,Software used to access and view websites on the internet,computing,From human behavior to web browsing software,1500s,1990s (World Wide Web)
dust,Fine dry particles of earth or other matter,A severe dust storm on Mars causing near-zero visibility,environment,Combines 'dust' + 'whiteout'. Critical survival term in Mars colonies,Projected 2040-2050s,2050s onward
loop,A shape that curves back on itself,The closed-loop life support system that recycles air water and waste,life_support,From 'closed loop' shortened to 'the Loop'. Central to colony survival,Projected 2040-2050s,2050s onward
lag,A delay between action and response,The light-speed communication delay between Earth and Mars typically 4 to 24 minutes one way,communication,Becomes a constant social and operational reality,Projected 2040-2050s,2050s onward
hab,Short for habitat in ecological terms,Any pressurized habitat module or living structure on Mars,infrastructure,Shortened from 'habitat'. Becomes the basic unit of living space,Projected 2040-2050s,2040-2050s
print,To produce text or images on paper,To construct buildings tools or parts using large-scale 3D printing,construction,From '3D print' to just 'print'. Primary construction method on Mars,Projected 2040-2050s,2040s onward
native,A person born in a particular place,A person born and raised on Mars as opposed to someone who immigrated from Earth,social_identity,Creates a new social category and potential cultural divide with Earth-born colonists,Projected 2050s+,2060-2070s
greenhouse,A glass building for growing plants,Deliberate enhancement or management of Mars greenhouse effect for planetary warming,terraforming,From small agricultural structure to planetary-scale engineering,Projected 2050s+,22nd and 23rd century
seeding,Planting seeds in soil,Releasing gases microbes or particles into the atmosphere to change planetary conditions,terraforming,Already used in scientific literature as atmospheric or biological seeding,Projected 2050s+,22nd and 23rd century
mirror,A reflective surface,Large orbital mirrors used to warm the planet,terraforming,One of the most discussed technological solutions for terraforming,Projected 2050s+,22nd and 23rd century
shield,Something that protects or blocks,A magnetic shield to protect the atmosphere from solar wind,terraforming,Critical long-term concept for maintaining atmosphere,Projected 2050s+,22nd and 23rd century
release,To let something go or set it free,Deliberately releasing trapped gases from the Martian regolith or poles,terraforming,Core mechanism in many terraforming strategies,Projected 2050s+,22nd and 23rd century
